"height","species_ID"
181.64,"species_2"
217.56,"species_2"
233.38,"species_1"
173.67,"species_1"
170.93,"species_1"
216.94,"species_2"
151.55,"species_1"
218.5,"species_2"
212.44,"species_1"
137.99,"species_1"
126.9,"species_2"
159.27,"species_2"
142.62,"species_1"
189.05,"species_2"
201.12,"species_2"
214.7,"species_1"
247.59,"species_1"
236.37,"species_2"
156.18,"species_1"
127.17,"species_1"
149.21,"species_2"
130.51,"species_1"
200.58,"species_2"
121.23,"species_1"
172.09,"species_1"
153.38,"species_2"
98.97,"species_1"
102.68,"species_1"
223.81,"species_2"
138.79,"species_1"
185.39,"species_2"
178.05,"species_1"
116.46,"species_1"
167.47,"species_1"
186.72,"species_2"
150.54,"species_1"
151.58,"species_2"
183.08,"species_2"
200.34,"species_1"
142.25,"species_1"
109.77,"species_2"
156.39,"species_2"
218.92,"species_2"
132.05,"species_1"
246.39,"species_2"
207.71,"species_1"
198.98,"species_2"
169.89,"species_1"
171.61,"species_2"
129.03,"species_1"
193.02,"species_2"
143.68,"species_1"
202.42,"species_2"
193.11,"species_1"
108.71,"species_1"
173.61,"species_2"
166.56,"species_1"
213.39,"species_2"
129.46,"species_1"
55.75,"species_1"
207.45,"species_2"
157.03,"species_2"
239.41,"species_2"
165.86,"species_2"
156.85,"species_1"
133.42,"species_1"
236.99,"species_1"
137.71,"species_2"
194.17,"species_1"
192.87,"species_1"
108.5,"species_2"
134.27,"species_1"
147.14,"species_2"
65.6,"species_1"
136.69,"species_2"
213.04,"species_2"
118.81,"species_2"
128.8,"species_2"
156.97,"species_2"
173.85,"species_1"
142.27,"species_1"
170.35,"species_1"
79.57,"species_1"
175.91,"species_1"
150.49,"species_2"
124.05,"species_2"
177.61,"species_2"
130.99,"species_2"
171.1,"species_2"
130.61,"species_1"
147.52,"species_1"
172.38,"species_1"
156.82,"species_1"
162.79,"species_2"
77.53,"species_1"
144.71,"species_1"
156.44,"species_1"
108.49,"species_1"
97.25,"species_1"
147.65,"species_2"
